"Guilty Gear ","University","Username","Week 1","Week 2","Week 3","Week 4","Week 5","Overall","","","Position","Points Earnt","",""
"1","Sheffield Hallam","ChillPenguin","7","7","7","","","21","","","1st","10","",""
"2","Reading","Duck165","","10","8","","","18","","","2nd","8","",""
"3","Manchester Met","Sherlock is Home","","8","10","","","18","","","3rd","7","",""
"4","Staffordshire","Xandere","8","6","","","","14","","","4th","6","",""
"5","De Montfort","SneakyK","5","5","4","","","14","","","5th","5","",""
"6","Brunel","DuhSpicyNoodle","5","4","5","","","14","","","7th","4","",""
"7","UWE","Captain Hancock","6","5","","","","11","","","9th","3","",""
"8","Sheffield Hallam","NeoJester","3","4","4","","","11","","","13th","2","",""
"9","Reading","Tiger_Pop","10","","","","","10","","","17th or below","1","",""
"10","Tesside","Izi","4","","6","","","10","","","","","",""
"11","Falmouth","Temillion","4","","5","","","9","","","","","",""
"12","King's College London","NoahG","2","3","3","","","8","","","","","",""
"13","Derby","Hyronon","3","3","","","","6","","","","","",""
"14","Swansea","charvos","3","","3","","","6","","","","","",""
"15","Nottingham","KowalskiYukio","1","2","3","","","6","","","","","",""
"16","Manchester Met","QC","1","2","3","","","6","","","","","",""
"17","Nottingham","chuffles","2","1","2","","","5","","Top 6 from Weekly Split Qualify to Finals Bracket","","","",""
"18","Oxford","Ovi","1","2","2","","","5","","Top 2 from Last Chance Qualifer ","","","",""
"19","Durham","CrossedMoon","2","","2","","","4","","","","","",""
"20","Birmingham City","Puppyruski","1","1","2","","","4","","If you spot any clerical errors, please let me know - GeoBreaker#2492","","","",""
"21","Reading","NagoriLukey","3","","","","","3","","","","","",""
"22","Durham","Ellinell","1","2","","","","3","","","","","",""
"23","Westminster","Bartosz","","3","","","","3","","","","","",""
"24","Loughborough","Nekon","","3","","","","3","","","","","",""
"25","Anglia Ruskin","DemonSpark","1","1","1","","","3","","","","","",""
"26","UWE","Dreugan","1","1","1","","","3","","","","","",""
"27","Nottingham","Gondola","2","","","","","2","","","","","",""
"28","Imperial","Naviless","","1","1","","","2","","","","","",""
"29","Staffordshire","Ceron","1","","","","","1","","","","","",""
"30","UWE","Relanah","1","","","","","1","","","","","",""
"31","Keele","Smam Mbeasns","1","","","","","1","","","","","",""
"32","Teesside","TitanicWomble","1","","","","","1","","","","","",""
"33","Portsmouth","Neoxander","1","","","","","1","","","","","",""
"34","Anglia Ruskin","Toncake","1","","","","","1","","","","","",""
"35","","","","","","","","0","","","","","",""
"36","","","","","","","","0","","","","","",""
"37","","","","","","","","0","","","","","",""
"38","","","","","","","","0","","","","","",""
"39","","","","","","","","0","","","","","",""
"40","","","","","","","","0","","","","","",""
"41","","","","","","","","0","","","","","",""
"42","","","","","","","","0","","","","","",""
"43","","","","","","","","0","","","","","",""
"44","","","","","","","","0","","","","","",""
"45","","","","","","","","0","","","","","",""
"46","","","","","","","","0","","","","","",""
"47","","","","","","","","0","","","","","",""
"48","","","","","","","","0","","","","","",""
"49","","","","","","","","0","","","","","",""
"50","","","","","","","","0","","","","","",""
"","","Key:","","","","","","","","","","","",""
"","","Q=Qualified for Finals","","","","","","","","","","","",""
"","Reading","Tiger_Pop","","","","","","","","","","","",""
"","Brunel","Rahil","","","","","","","","","","","",""
"","Reading","Marcster02","","","","","","","","","","","",""
"","Southampton","CS Goeblin","","","","","","","","","","","",""
"","UWE","Captain Hancock","","","","","","","","","","","",""
"","Westminster","Teruko","","","","","","","","","","","",""
"","KCL","Radifire","","","","","","","","","","","",""
"","Westminster","LucioFGC","","","","","","","","","","","",""
"","Nottingham","Gondola","","","","","","","","","","","",""
"","Bristol","OriginAlf","","","","","","","","","","","",""
"","Essex","PossibleRat","","","","","","","","","","","",""
"","UWE","Dreugan","","","","","","","","","","","",""
"","Brunel","DRAAAAAVEN","","","","","","","","","","","",""
"","Westminster","Bartosz","","","","","","","","","","","",""
"","UWE","LukeVantage","","","","","","","","","","","",""
"","Imperial","J E L L Y","","","","","","","","","","","",""
"","Liverpool","Woeger","","","","","","","","","","","",""
"","Northumbria","Cass","","","","","","","","","","","",""
"","Liverpool","Lum","","","","","","","","","","","",""
"","Reading","NagoriLukey","","","","","","","","","","","",""
"","Plymouth","SpaceJamming","","","","","","","","","","","",""
"","Teesside","MOUNTAIN","","","","","","","","","","","",""
"","KCL","Gee","","","","","","","","","","","",""
"","Manchester Met","QCHeavy","","","","","","","","","","","",""