"SFV ","University","Username","Week 1","Week 2","Week 3","Week 4","Week 5","Overall","","","Position","Points Earnt","",""
"1","Sheffield Hallam","Naarii","8","6","8","","","22","","","1st","8","",""
"2","De Montfort","Luvalon","6","5","3","","","14","","","2nd","6","",""
"3","Cardiff","not bad","1","8","3","","","12","","","3rd","5","",""
"4","Nottingham","Gondola","5","4","2","","","11","","","4th","4","",""
"5","Cardiff Met","RATSTAB","4","3","4","","","11","","","5th","3","",""
"6","Birmingham City","bunnytickles","3","2","5","","","10","","","7th","2","",""
"7","Bath Spa","pitamus","","","6","","","6","","","9th or below","1","",""
"8","Falmouth","GPK","1","3","1","","","5","","","","","",""
"9","Birmingham City","Siastur","2","","2","","","4","","","","","",""
"10","Birmingham City","Deltius","3","","","","","3","","","","","",""
"11","Durham","Ellinell","1","2","","","","3","","","","","",""
"12","Nottingham","charlieb","2","","","","","2","","Winner of LCQ also qualifies","","","",""
"13","Bath Spa","JaSpecific","1","","","","","1","","Top 3 from Weekly Split Qualify to Finals Bracket","","","",""
"","","","","","","","","","","If you spot any clerical errors, please let me know - GeoBreaker#2492","","","",""
"","","Key:","","","","","","","","","","","",""
"","","Q=Qualified for Finals","","","","","","","","","","","",""